names,scores,logfoldchanges,pvals,pvals_adj
IL32,36.15054,0.4529855,3.6486316630309034e-286,7.298432759287137e-285
MYL12A,-36.053665,-0.43207705,1.2082804276107838e-284,2.4092262455970934e-283
HLA-B,35.910034,0.29416463,2.1301527561366433e-282,4.233848200970952e-281
GSTK1,-35.871044,-0.57302254,8.64107036727847e-282,1.7120292114979343e-280
IL2RB,35.708412,1.1593089,2.926853605040011e-279,5.780535869954023e-278
STK17A,35.702576,0.63154477,3.60575727557537e-279,7.098905727717944e-278
PRDX1,35.698303,0.67557496,4.2004456951760795e-279,8.24370490050123e-278
VOPP1,35.68608,1.0908794,6.4991295439260974e-279,1.2715068176690526e-277
TGIF1,35.64494,1.401043,2.822559914655138e-278,5.504873883550848e-277
TMBIM6,35.558147,0.49331182,6.217640405945952e-277,1.2088565038476227e-275
IGFLR1,35.522545,1.2309293,2.2058604170138197e-276,4.27539592005691e-275
ACP5,35.48794,1.6913948,7.543398431615402e-276,1.4575340437062455e-274
STK17B,35.47868,0.56426746,1.048094372537061e-275,2.0188756108036414e-274
STIP1,35.410053,1.032484,1.1957283736558596e-274,2.296166393841914e-273
LBH,35.250275,0.6933738,3.397633265142908e-272,6.50448748704199e-271
HMGB1,35.19647,0.4237458,2.264339157268794e-271,4.321633235631359e-270
FCMR,-35.156155,-0.8513686,9.360894158094903e-271,1.781138428069216e-269
RSRC2,35.137074,0.74934417,1.8315850983108345e-270,3.474444558832194e-269
ICAM2,-35.075016,-1.3392112,1.6207211708485482e-269,3.0651275234138755e-268
CD4,35.06686,0.85092264,2.1579617485921047e-269,4.0688336172094636e-268
PSMB3,35.021206,0.738726,1.0701435309856575e-268,2.0116764388197255e-267
BTF3,-34.8633,-0.34289527,2.677127269045106e-266,5.017402788621773e-265
MT-ND4L,-34.742565,-0.4101231,1.7950128164293053e-264,3.354094307585417e-263
AGFG1,34.707306,1.7904222,6.112834843740692e-264,1.1388120077547958e-262
HMGB2,34.670467,0.8733312,2.1961813145126908e-263,4.079276066629078e-262
BTG1,34.635704,0.3750233,7.332962338123623e-263,1.3580124021433095e-261
PRKAR1A,34.54718,0.8828635,1.5713132611286435e-261,2.901350906125404e-260
CALM3,34.420998,0.6694147,1.2234142644266945e-259,2.25230926970118e-258
GNG2,34.395214,0.7171889,2.97292247655532e-259,5.457061522406398e-258
RPS17,-34.321617,-0.57417434,3.73513028789119e-258,6.836055169128715e-257
GBP5,34.315186,0.87968063,4.658855275591314e-258,8.501729758761809e-257
TNFAIP3,34.286377,0.585462,1.2525315661279511e-257,2.2790231790683798e-256
TMEM167A,34.279037,1.2947081,1.611243586499949e-257,2.9231893091122624e-256
COPE,34.262634,0.69006556,2.8280425984893976e-257,5.1158880745427046e-256
SQSTM1,34.246338,0.6038,4.944402639526346e-257,8.918501986498245e-256
BIRC3,34.236095,0.77154326,7.024323112037732e-257,1.2633660098624637e-255
CAPZB,34.208523,0.50356394,1.8060841131320885e-256,3.2390146408210816e-255
TYMP,34.20492,1.4861301,2.0431231970619718e-256,3.653619447811967e-255
TRPS1,34.204582,1.9298136,2.0669015684274597e-256,3.685580768158793e-255
NFATC2,34.184925,1.0854471,4.050268359332146e-256,7.201631005866645e-255
MT-ND4,-34.1767,-0.44028404,5.366672274923339e-256,9.515170928351295e-255
YWHAB,34.100212,0.41891125,7.323260844117414e-255,1.2947442189273876e-253
SYT11,34.0449,1.8275372,4.8294880521836035e-254,8.51436015075646e-253
PTPRC,34.009644,0.35370508,1.6044770456879014e-253,2.820715842855829e-252
PLAC8,-33.976562,-3.721454,4.9448076564613265e-253,8.668692298869421e-252
FXYD5,-33.93066,-0.36699402,2.352839401703604e-252,4.1131850717177006e-251
PLP2,-33.903366,-0.7890549,5.942607177989916e-252,1.0359723854143873e-250
MAP3K8,33.825394,1.6679007,8.350361121275139e-251,1.4516602718071905e-249
CHCHD2,33.75966,0.39749613,7.714375232894891e-250,1.337372661902695e-248
TSPAN5,33.716175,1.413998,3.3495750511895784e-249,5.790775040020543e-248
TMEM173,33.709373,0.89249104,4.213707294917407e-249,7.264571057342414e-248
PPP4R2,33.70183,0.9518896,5.434605290925703e-249,9.343628545638378e-248
RNF213,33.6948,0.68669367,6.88807646262294e-249,1.1810023407480706e-247
EIF4B,-33.62635,-0.6051869,6.9128685929613795e-248,1.1820058325663552e-246
TERF2IP,33.38027,0.6441503,2.6510905538755352e-244,4.520616433534758e-243
PSME2,33.366142,0.59352374,4.249683676902246e-244,7.226778154644937e-243
HNRNPA3,33.339104,0.5427599,1.0479365627937419e-243,1.7772206761944953e-242
CAMK4,-33.31895,-0.91981214,2.0525747722039755e-243,3.471577006321141e-242
COMMD6,-33.31674,-0.44108534,2.2099431319299582e-243,3.727636509831046e-242
MT-ATP6,-33.296093,-0.53171855,4.397833344247303e-243,7.398080296886097e-242
DNAJB6,33.25456,0.6955326,1.7539146118375352e-242,2.9425217990532414e-241
TXNIP,-33.186882,-0.59695834,1.66466015483035e-241,2.7852933046370546e-240
PFKFB3,33.179573,1.0155348,2.122054612571824e-241,3.541107710444052e-240
JUND,33.178635,0.6870128,2.1892070792272082e-241,3.643424368388535e-240
RHOH,33.126427,0.5946726,1.237738553990385e-240,2.0544484881526577e-239
TMEM50A,33.12581,0.6193367,1.2633319033550528e-240,2.091367217198643e-239
ARL6IP1,33.08598,0.6529115,4.728263836012515e-240,7.806638783215372e-239
ABLIM1,-33.084,-1.4029084,5.048869240503141e-240,8.313982303424829e-239
COX5A,32.97582,0.7225991,1.804808133305701e-238,2.9641598842002315e-237
MRPS6,32.96515,0.9077248,2.5665372580409896e-238,4.204136227672918e-237
PSMD8,32.911922,0.73670727,1.4841397586645366e-237,2.424742469587794e-236
POMP,32.89394,0.7661429,2.683334648221216e-237,4.3725043184200025e-236
CHORDC1,32.883762,0.79636157,3.751331899361734e-237,6.09689124581161e-236
TAP1,32.874916,0.78902376,5.018674229620652e-237,8.13546645897727e-236
VDAC1,32.71876,0.8877596,8.44950572816973e-235,1.3661493587955255e-233
RCAN3,-32.595165,-1.0470506,4.801938310985325e-233,7.743901033297006e-232
H2AFZ,32.56301,0.6431482,1.3702218315707012e-232,2.2040088790806047e-231
RPL36AL,-32.53536,-0.37013605,3.373140738028216e-232,5.411766412862236e-231
PELI1,32.508945,0.99416995,7.970013600535622e-232,1.2754065354087901e-230
TPM4,32.46966,0.81534904,2.8594662437328096e-231,4.564176170623137e-230
ERP29,-32.39208,-0.633864,3.548545582944357e-230,5.649610454886667e-229
UCP2,32.38841,0.64972025,3.9969177841446584e-230,6.3472681656098764e-229
PHTF2,32.321045,1.0041242,3.541432455826564e-229,5.60966496365827e-228
MAL,-32.288094,-1.055859,1.027877752994083e-228,1.624046849730651e-227
ETS1,32.242607,0.5148013,4.4661294768224243e-228,7.038665167891098e-227
GNA15,32.175407,1.6809103,3.8976869850211717e-227,6.127321026074845e-226
ACTG1,32.09453,0.33925658,5.256454609735091e-226,8.242596286270529e-225
SDF4,31.941753,0.82765955,7.032772883015892e-224,1.100038485285769e-222
FOXO1,31.916765,0.9439952,1.5629872562306763e-223,2.4386508665339125e-222
HNRNPL,31.916586,0.699068,1.571986193288814e-223,2.446575020527553e-222
SAMHD1,-31.896395,-0.80135083,2.9958196734615874e-223,4.65097278161039e-222
SPATS2L,31.892834,1.6715258,3.356609778574464e-223,5.1981641757030345e-222
AHR,31.825708,1.0619982,2.8548312960359145e-222,4.41014903924756e-221
ZFP36L1,31.79815,0.58624,6.865769745585703e-222,1.0580066415358117e-220
SORL1,-31.783495,-1.9099237,1.0944891304736715e-221,1.6824400648488137e-220
